罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所,被害者の性別,被害者の年齢,現金被害の有無
窃盗,ひったくり,東,北久宝寺町交番,271284,大阪府,大阪市中央区,北久宝寺町４丁目,2021-06-03,12,道路上,男性,30歳代,あり
窃盗,ひったくり,東,天満橋交番,271284,大阪府,大阪市中央区,石町２丁目,2021-10-14,19,道路上,男性,40歳代,なし
窃盗,ひったくり,東,天満橋交番,271284,大阪府,大阪市中央区,東高麗橋,2021-11-19,13,道路上,男性,30歳代,あり
窃盗,ひったくり,東,安土町交番,271284,大阪府,大阪市中央区,瓦町１丁目,2021-10-02,11,その他,女性,30歳代,なし
窃盗,ひったくり,東,安土町交番,271284,大阪府,大阪市中央区,南本町２丁目,2021-06-05,13,道路上,男性,30歳代,あり
窃盗,ひったくり,東,安土町交番,271284,大阪府,大阪市中央区,南本町３丁目,2021-06-06,12,道路上,男性,20歳代,あり
窃盗,ひったくり,南,戎橋交番,271284,大阪府,大阪市中央区,心斎橋筋２丁目,2021-05-31,01,道路上,男性,20歳代,あり
窃盗,ひったくり,南,戎橋交番,271284,大阪府,大阪市中央区,心斎橋筋２丁目,2021-09-10,03,道路上,男性,20歳代,あり
窃盗,ひったくり,南,西心斎橋交番,271284,大阪府,大阪市中央区,西心斎橋２丁目,2021-09-06,04,道路上,女性,20歳代,あり
窃盗,ひったくり,南,道頓堀交番,271284,大阪府,大阪市中央区,千日前１丁目,2021-06-06,03,道路上,男性,40歳代,あり
窃盗,ひったくり,南,道頓堀交番,271284,大阪府,大阪市中央区,宗右衛門町,2021-03-07,03,道路上,男性,30歳代,あり
窃盗,ひったくり,南,道頓堀交番,271284,大阪府,大阪市中央区,宗右衛門町,2021-04-26,02,道路上,男性,20歳代,あり
窃盗,ひったくり,南,長堀交番,271284,大阪府,大阪市中央区,島之内１丁目,2021-03-08,04,道路上,男性,20歳代,あり
窃盗,ひったくり,南,長堀交番,271284,大阪府,大阪市中央区,島之内１丁目,2021-04-09,02,道路上,男性,20歳代,あり
窃盗,ひったくり,南,長堀交番,271284,大阪府,大阪市中央区,島之内１丁目,2021-04-27,01,道路上,男性,20歳代,あり
窃盗,ひったくり,南,長堀交番,271284,大阪府,大阪市中央区,南船場１丁目,2021-02-23,03,道路上,女性,20歳代,あり
窃盗,ひったくり,南,高津交番,271284,大阪府,大阪市中央区,高津３丁目,2021-09-11,05,その他,女性,20歳代,あり
窃盗,ひったくり,南,高津交番,271284,大阪府,大阪市中央区,日本橋１丁目,2021-08-31,05,道路上,女性,10歳代,なし
窃盗,ひったくり,池田,荘園口交番,272043,大阪府,池田市,井口堂２丁目,2021-07-24,22,道路上,女性,20歳代,あり
窃盗,ひったくり,福島,海老江交番,271039,大阪府,大阪市福島区,鷺洲３丁目,2021-12-22,17,その他,女性,30歳代,あり
窃盗,ひったくり,旭,新森交番,271179,大阪府,大阪市旭区,清水２丁目,2021-11-18,18,道路上,女性,20歳代,あり
